Gene	Frequency
MAP3K15	10
BARD1	10
ST8SIA2	10
PADI4	10
CUL7	10
KRTAP15-1	10
TUBA3D	10
SNX31	10
WAC	10
GAS2L2	10
SHROOM4	10
ZXDB	10
WDR35	10
MAGEB10	10
PODN	10
MOV10L1	10
OR5K4	10
SLC35F3	10
FAM154B	10
C1orf127	10
ADARB2	10
ATRN	10
PPIG	10
RHBDF2	10
IFI44	10
CD33	10
KCTD16	10
ANKRD35	10
PLK4	10
AJAP1	10
LAMC2	10
SIRPA	10
SIN3A	10
MEIS2	10
ARSG	10
FNDC3A	10
FAM160A2	10
GPR63	10
OR8B8	10
GAL3ST3	10
PKDREJ	10
ZNF746	10
C11orf82	10
ZFAT	10
CHRD	10
TECPR2	10
CLVS2	10
ZDHHC15	10
NCKAP1	10
MYPN	10
CCDC54	10
MTM1	10
FAR2	10
OR10C1	10
SYT11	10
ANKRD7	10
FCGR3B	10
ZMIZ2	10
OR4B1	10
IRF6	10
STIM1	10
MYBL2	10
PHKA2	10
PCSK6	10
OR7D4	10
NXF3	10
KIF27	10
PNPLA7	10
TUB	10
OR2G6	10
SLC9A3	10
SCFD2	10
CKAP2L	10
TMEM132A	10
PSD2	10
HOXB3	10
DNMT3B	10
SLC22A6	10
KRT31	10
FAM91A1	10
TUBGCP3	10
SORBS2	10
IKBKB	10
KRTAP5-10	10
BCAS1	10
ZIK1	10
EFCAB3	10
SH2D3C	10
IRF4	10
PDE6C	10
STAG1	10
ZNF217	10
CHIT1	10
FH	10
STOX1	10
FCRL1	10
TRIP11	10
CLCN3	10
VWC2L	10
KRT26	10
MYEF2	10
KIAA1377	10
STRN	10
UNC13B	10
SOX7	10
ACTL9	10
SMARCC2	10
MEI1	10
EZH2	10
CLSPN	10
PDZD8	10
IKZF2	10
ZNF606	10
ZC3H3	10
C1orf141	10
GDPD2	10
NXF5	10
CD1D	10
OR2T2	10
HSPH1	10
PI4KB	10
ASB15	10
TEX13B	10
NRSN1	10
BUB1B	10
ABCA4	10
MS4A1	10
MYLK2	10
NAA16	10
USP32	10
ZNF616	10
JAK3	10
COL13A1	10
ELSPBP1	10
MCM3AP	10
KCNQ2	10
KRT3	10
AHR	10
MARCH4	10
GPR26	10
MTRR	10
KIAA0430	10
CAND1	10
ITGB6	10
SULF1	10
TECPR1	10
KCTD19	10
SYT13	10
NUP107	10
CUEDC1	10
ESF1	10
SH3PXD2A	10
DCAF13	10
ZSCAN10	10
PASK	10
MTMR12	10
FAM129A	10
SLC4A2	10
MLLT4	10
OR52L1	10
PTDSS1	10
BTBD9	10
GAB4	10
C9orf131	10
IRF8	10
C2orf78	10
KRTAP10-4	10
DPY19L3	10
TMEM169	10
S1PR1	10
C1orf116	10
NSMAF	10
TIGD3	10
TMEM38B	10
SLC22A9	10
TDRD9	10
LRIT1	10
SYNRG	10
PHF2	10
ST6GALNAC5	10
RASGRP4	10
ZNF493	10
OR9A2	10
STRN3	10
TSKS	10
ST14	10
CT47B1	10
LCP2	10
ZC3H14	10
MS4A3	10
PPP3CA	10
SRMS	10
ARHGEF10L	9
PLEK	9
TCTEX1D1	9
METTL13	9
NLGN2	9
ZNF646	9
SLC22A11	9
N4BP2	9
PPIP5K2	9
ASB12	9
AFAP1L1	9
LARS	9
CD1C	9
KMO	9
DMRTB1	9
CRHBP	9
STK10	9
TSPYL2	9
PUS7L	9
SMOC2	9
CKAP2	9
IKZF1	9
FPR2	9
ALG11	9
SOX9	9
